Node,Country,Population,Centroid_Lat,Centroid_Lon,Pop_Lat,Pop_Lon,Node_Verbose
AFG-XX,Afghanistan,4273156,33.82888193,66.03059453,34.5253,69.1783,Afghanistan
AGO-XX,Angola,9051000,-12.33727072,17.57616072,-8.8383,13.2344,Angola
ALB-XX,Albania,418495,41.14084484,20.06195707,41.3289,19.8178,Albania
ARE-XX,United Arab Emirates,3331420,23.9073357,54.33630075,25.2631,55.2972,United Arab Emirates
ARG-XX,Argentina,16710000,-35.18533553,-65.1410162,-34.5997,-58.3819,Argentina
ARM-XX,Armenia,1075800,40.29403906,44.93871008,40.1814,44.5144,Armenia
AUS-NT,Australia,136828,-12.4381,130.8411,-12.4381,130.8411,
AUS-QL,Australia,2360241,-27.4678,153.0281,-27.4678,153.0281,
AUS-SA,Australia,1295714,-34.9275,138.6,-34.9275,138.6,
AUS-SW,Australia,4840600,-33.8678,151.21,-33.8678,151.21,
AUS-TA,Australia,222356,-42.8806,147.325,-42.8806,147.325,
AUS-VI,Australia,222356,-37.8142,144.9631,-37.8142,144.9631,
AUS-WA,Australia,2141834,-31.9559,115.8606,-31.9559,115.8606,
AUT-XX,Austria,1973403,47.58736064,14.142721,48.2083,16.3725,Austria
AZE-XX,Azerbaijan,2300500,40.35265159,47.66265475,40.3667,49.8352,Azerbaijan
BDI-XX,Burundi,1075000,-3.3833,29.3667,-3.3833,29.3667,
BEL-XX,Belgium,1743000,50.64150126,4.659493024,50.8467,4.3525,Belgium
BEN-XX,Benin,762000,6.3667,2.4333,6.3667,2.4333,Benin
BFA-XX,Burkina Faso,2453496,12.2766677,-1.744797825,12.3686,-1.5275,Burkina Faso
BGD-XX,Bangladesh,18627000,23.91907958,90.27936877,23.7639,90.3889,Bangladesh
BGR-XX,Bulgaria,1547779,42.75609684,25.22511156,42.7,23.33,Bulgaria
BHR-XX,Bahrain,436000,26.05278085,50.54011116,26.225,50.5775,Bahrain
BIH-XX,Bosnia and Herzegovina,419957,44.17538124,17.7881827,43.8564,18.4131,Bosnia and Herzegovina
BLR-XX,Belarus,2009786,53.54560441,28.05657698,53.9,27.5667,Belarus
BLZ-XX,Belize,57169,17.4986,-88.1886,17.4986,-88.1886,
BOL-XX,Bolivia,3151676,-16.71661931,-64.657991,-17.7892,-63.1975,Bolivia
BRA-CN,Brazil,1499641,-1.4558,-48.5039,-1.4558,-48.5039,
BRA-CW,Brazil,3039444,-15.7939,-47.8828,-15.7939,-47.8828,
BRA-NE,Brazil,2886698,-12.9747,-38.4767,-12.9747,-38.4767,
BRA-NW,Brazil,2219580,-3.1,-60.0167,-3.1,-60.0167,
BRA-SE,Brazil,23086000,-23.55,-46.6333,-23.55,-46.6333,
BRA-SO,Brazil,1879355,-25.4297,-49.2711,-25.4297,-49.2711,
BRA-WE,Brazil,428527,-8.7619,-63.9039,-8.7619,-63.9039,
BRN-XX,Brunei,50000,4.50487846,114.6332004,4.8903,114.9422,Brunei Darussalam
BTN-XX,Bhutan,104000,27.39601669,90.42771481,27.4722,89.6361,Bhutan
BWA-XX,Botswana,231626,-22.18836455,23.81395109,-24.6581,25.9122,Botswana
CAF-XX,Central African Republic,889231,6.574902308,20.48549685,4.3733,18.5628,Central African Republic
CAN-AB,Canada,1239220,51.05,-114.067,51.05,-114.067,Canada - Alberta  
CAN-AR,Canada,403131,44.6475,-63.5906,44.6475,-63.5906,Canada - Atlantic  
CAN-BC,Canada,2264823,49.25,-123.1,49.25,-123.1,Canada - British Colombia 
CAN-MB,Canada,705244,49.8844,-97.1464,49.8844,-97.1464,Canada - Manitoba 
CAN-NL,Canada,108860,47.4817,-52.7971,47.4817,-52.7971,Canada - Newfoundland 
CAN-NO,Canada,19569,64.79370997,-114.8367544,62.4709,-114.405,Canada - North
CAN-ON,Canada,5429524,43.7417,-79.3733,43.7417,-79.3733,Canada - Ontario
CAN-QC,Canada,3519595,45.5089,-73.5617,45.5089,-73.5617,Canada - Quebec
CAN-SK,Canada,246376,52.1333,-106.683,52.1333,-106.683,Canada - Saskatchewan 
CHE-XX,Switzerland,436332,46.80144773,8.227548457,47.3744,8.5411,Switzerland
CHL-XX,Chile,7171000,-35.29686404,-71.22329283,-33.4372,-70.6506,Chile
CHN-AN,China,4216940,31.8639,117.2808,31.8639,117.2808,
CHN-BE,China,18522000,39.904,116.4075,39.904,116.4075,
CHN-CH,China,12135000,29.55,106.5069,29.55,106.5069,
CHN-FU,China,3707090,24.4797,118.0819,24.4797,118.0819,
CHN-GA,China,3067141,36.0617,103.8318,36.0617,103.8318,
CHN-GD,China,26940000,23.13,113.26,23.13,113.26,
CHN-GU,China,3299724,26.5794,106.7078,26.5794,106.7078,
CHN-GX,China,3837978,22.8192,108.315,22.8192,108.315,
CHN-HA,China,2873358,20.02,110.32,20.02,110.32,
CHN-HB,China,4098243,38.0422,114.5086,38.0422,114.5086,
CHN-HE,China,5621593,34.7492,113.6605,34.7492,113.6605,
CHN-HJ,China,3830000,45.75,126.6333,45.75,126.6333,
CHN-HK,China,7450000,22.3,114.2,22.3,114.2,
CHN-HN,China,4766296,28.1987,112.9709,28.1987,112.9709,
CHN-HU,China,10251000,30.5872,114.2881,30.5872,114.2881,
CHN-JI,China,4408154,43.9,125.2,43.9,125.2,
CHN-JS,China,8422000,32.0608,118.7789,32.0608,118.7789,
CHN-JX,China,3576547,28.6842,115.8872,28.6842,115.8872,
CHN-LI,China,7964000,41.8025,123.4281,41.8025,123.4281,
CHN-MA,China,568700,22.2006,113.5461,22.2006,113.5461,
CHN-NI,China,1901793,38.4795,106.2254,38.4795,106.2254,
CHN-NM,China,4341245,42.2663,118.9223,42.2663,118.9223,
CHN-QI,China,2467965,36.6239,101.7787,36.6239,101.7787,
CHN-SC,China,14645000,30.66,104.0633,30.66,104.0633,
CHN-SD,China,5818255,36.1167,120.4,36.1167,120.4,
CHN-SH,China,24073000,31.1667,121.4667,31.1667,121.4667,
CHN-SI,China,12328000,34.2667,108.9,34.2667,108.9,
CHN-SX,China,3875053,37.8733,112.5425,37.8733,112.5425,
CHN-TI,China,902500,29.6534,91.1719,29.6534,91.1719,
CHN-TJ,China,13552359,39.1467,117.2056,39.1467,117.2056,
CHN-XI,China,4335017,43.8225,87.6125,43.8225,87.6125,
CHN-YU,China,4422686,25.0433,102.7061,25.0433,102.7061,
CHN-ZH,China,9523000,30.25,120.1675,30.25,120.1675,
CIV-XX,Cote DIvoire,4980000,7.62505631,-5.55467423,5.3167,-4.0333,Côte d'Ivoire
CMR-XX,Cameroon,5768400,5.692878617,12.74155214,4.05,9.7,Cameroon
COD-XX,Congo (Kinshasa),12836000,-2.881186814,23.66027837,-4.325,15.3222,"Congo, Democratic Republic of the"
